City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
4021858,Guerrero Negro,MX,27.9769,-114.0611,69.82,80,8,16.64
779622,Havøysund,NO,70.9963,24.6622,43.03,72,99,11.54
2303611,Esim,GH,4.8699,-2.2405,75.15,93,52,4.88
2171099,Codrington,AU,-38.2667,141.9667,67.28,61,10,21.7
5282297,Bethel,US,41.3712,-73.414,68.11,90,100,1.99
3893656,Copiapó,CL,-27.3667,-70.3333,49.69,56,22,0.92
3372783,Ponta Delgada,PT,37.7333,-25.6667,68.72,83,20,5.75
3131500,Visnes,NO,59.3556,5.2242,53.55,87,75,9.22
1784055,Zhuanghe,CN,39.7008,122.9911,76.14,66,84,4.5
639734,Rauma,FI,61.1272,21.5113,42.84,76,98,10.76
244878,Biltine,TD,14.5333,20.9167,82.89,36,69,1.43
123941,Mīnāb,IR,27.1467,57.0801,90.9,36,0,3.85
2171465,Clarence Town,AU,-32.5833,151.7833,69.01,37,0,0.69
2122605,Okhotsk,RU,59.3833,143.3,55.47,83,100,33.73
2077895,Alice Springs,AU,-23.7,133.8833,85.55,17,100,8.05
3921355,Challapata,BO,-18.9,-66.7667,47.71,69,100,3.09
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,68.13,82,90,14.97
1735106,George Town,MY,5.4112,100.3354,78.22,91,40,10.36
198629,Eldoret,KE,0.5204,35.2699,59.09,94,75,2.3
2450173,Taoudenni,ML,22.6783,-3.9836,92.17,26,43,8.16
1056899,Sambava,MG,-14.2667,50.1667,74.17,72,54,6.85
3580477,West Bay,KY,19.3667,-81.4167,84.02,82,95,5.01
1563281,Tuy Hoa,VN,13.0833,109.3,88.47,61,9,6.55
3247554,Čelinac,BA,44.7228,17.3278,59.67,72,64,4.07
2387926,Bouar,CF,5.934,15.596,62.73,98,100,2.35
1524302,Ereymentau,KZ,51.6199,73.1033,62.46,38,23,14.88
5386754,Redlands,US,34.0556,-117.1825,67.59,60,1,4.61
5367788,Lompoc,US,34.6391,-120.4579,55.53,82,90,3.44
1248991,Colombo,LK,6.9319,79.8478,84.15,78,82,10.2
2281120,Tabou,CI,4.423,-7.3528,76.33,88,91,7.05
151920,Nansio,TZ,-2.1333,33.05,71.8,68,62,8.25
363885,Wau,SS,7.7029,27.9953,70.72,97,100,5.12
2173911,Broken Hill,AU,-31.95,141.4333,78.51,19,90,13.8
